pl_name,default_flag,tran_flag,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_kmag,sy_kmagerr1,sy_kmagerr2
Kepler-337 b,1,1,Published Confirmed,0,3.292781,0.000019,-0.000019,0,0.045,,,0,0.137,0.038,-0.038,0,,,,,,,,,,,,,,,,,,,,,,2454966.01,0.00345,-0.00345,0,0,0.03,0.24,-0.24,0,,,,,4.767,0.097,-0.097,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5684,175,-175,0,1.761,0.485,-0.485,0,,,,,,,,,4.004,0.25,-0.25,0,11.183,0.016,-0.016
Kepler-337 c,1,1,Published Confirmed,0,9.693201,0.000047,-0.000047,0,0.093,,,0,0.183,0.051,-0.051,0,,,,,,,,,,,,,,,,,,,,,,2454965.812,0.00291,-0.00291,0,0,0,0.2,-0.2,0,,,,,5.509,0.079,-0.079,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5684,175,-175,0,1.761,0.485,-0.485,0,,,,,,,,,4.004,0.25,-0.25,0,11.183,0.016,-0.016
Kepler-338 b,1,1,Published Confirmed,0,13.726976,0.000059,-0.000059,0,0.117,,,0,0.218,0.012,-0.012,0,,,,,,,,,,,,,,,,,,,,,,2454971.748,0.00247,-0.00247,0,1,0.14,0.21,-0.21,0,,,,,7.288,0.083,-0.083,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5923,77,-77,0,1.735,0.082,-0.082,0,,,,,,,,,4.017,0.073,-0.073,0,10.756,0.021,-0.021
Kepler-338 c,1,1,Published Confirmed,0,24.310856,0.000158,-0.000158,0,0.172,,,0,0.209,0.011,-0.011,0,,,,,,,,,,,,,,,,,,,,,,2454970.041,0.00397,-0.00397,0,0,0.03,0.22,-0.22,0,,,,,8.82,0.118,-0.118,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5923,77,-77,0,1.735,0.082,-0.082,0,,,,,,,,,4.017,0.073,-0.073,0,10.756,0.021,-0.021
Kepler-338 d,1,1,Published Confirmed,0,44.431014,0.000368,-0.000368,0,0.257,,,0,0.268,0.025,-0.025,0,,,,,,,,,,,,,,,,,,,,,,2454976.542,0.0048,-0.0048,0,0,0.79,0.28,-0.28,0,,,,,10.624,0.156,-0.156,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5923,77,-77,0,1.735,0.082,-0.082,0,,,,,,,,,4.017,0.073,-0.073,0,10.756,0.021,-0.021
Kepler-338 e,1,1,Published Confirmed,0,9.341,,,0,,,,,0.139,0.006,-0.006,0,0.027,0.023,-0.02,0,Mass,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.735,,,0,1.14,,,0,,,,,,,,,10.756,0.021,-0.021
Kepler-339 b,1,1,Published Confirmed,0,4.977656,0.000019,-0.000019,0,0.055,,,0,0.127,0.059,-0.059,0,,,,,,,,,,,,,,,,,,,,,,2454967.672,0.00227,-0.00227,0,0,0.6,0.35,-0.35,0,,,,,2.553,0.069,-0.069,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5631,200,-200,0,0.802,0.362,-0.362,0,,,,,,,,,4.586,0.3,-0.3,0,12.874,0.031,-0.031
Kepler-339 c,1,1,Published Confirmed,0,6.988055,0.000053,-0.000053,0,0.069,,,0,0.103,0.046,-0.046,0,,,,,,,,,,,,,,,,,,,,,,2454965.561,0.00446,-0.00446,0,0,0.46,0.24,-0.24,0,,,,,3.15,0.13,-0.13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5631,200,-200,0,0.802,0.362,-0.362,0,,,,,,,,,4.586,0.3,-0.3,0,12.874,0.031,-0.031
Kepler-339 d,1,1,Published Confirmed,0,10.558345,0.000081,-0.000081,0,0.091,,,0,0.104,0.047,-0.047,0,,,,,,,,,,,,,,,,,,,,,,2454969.347,0.0045,-0.0045,0,0,0.25,0.21,-0.21,0,,,,,3.41,0.12,-0.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5631,200,-200,0,0.802,0.362,-0.362,0,,,,,,,,,4.586,0.3,-0.3,0,12.874,0.031,-0.031
Kepler-34 b,1,1,Published Confirmed,0,288.822,0.063,-0.081,0,1.0896,0.0009,-0.0009,0,0.764,0.012,-0.014,0,0.22,0.011,-0.01,0,Mass,0.613,0.045,-0.041,0,0.182,0.016,-0.02,0,,,,,90.355,0.026,-0.018,0,2454969.2,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5913,130,-130,0,1.1618,0.0027,-0.0031,0,1.0479,0.0033,-0.003,0,-0.07,0.15,-0.15,0,4.3284,0.0023,-0.0019,0,13.238,0.035,-0.035
Kepler-340 b,1,1,Published Confirmed,0,14.844387,0.000473,-0.000473,0,0.134,,,0,0.226,0.054,-0.054,0,,,,,,,,,,,,,,,,,,,,,,2454976.583,0.01595,-0.01595,0,0,0.31,0.23,-0.23,0,,,,,5.626,0.55,-0.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6620,376,-376,0,1.85,0.416,-0.416,0,,,,,,,,,4.063,0.15,-0.15,0,11.583,0.014,-0.014
